wallet_age_days,avg_tx,recent_tx,tx_frequency,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec,wallet,token,source
40,898.1111111111111,1000.0,0.45,0.00030893332189135846,0.018535999313481506,0.44486398352355616,194216.66666666666,0x4fbf698c9d23b4a17ca57dd0efa5a5570462ec80,usdt,normal
162,128521.01295335917,0.001,1.7530864197530864,0.0012120456855868136,0.07272274113520882,1.7453457872450115,49503.08450704225,0x967e9963b4946dfc641ead73f6613f00fe13a738,usdt,normal
183,231732.76755890623,0.001,0.6994535519125683,0.00048509286875585047,0.029105572125351028,0.6985337310084248,123687.65625,0x7933301015a60ffd6e30ec4985a1f07f3dd016cc,usdt,normal
339,2144.0436381639347,0.0,0.17994100294985252,0.00012482355883016179,0.007489413529809708,0.179745924715433,480678.4918032787,0x9fb5f6e7afa64818d7749cd75d532fa305966940,usdt,normal
1,1415.5247967999999,2670.7261,10.0,0.003491132523390588,0.20946795140343527,5.027230833682446,17186.4,0x3066d8485806a4d05cdb295c0cd40338a3aa3cd6,usdt,normal
1099,37.858342416666666,5.0,0.01091901728844404,7.580491235204408e-06,0.00045482947411226444,0.010915907378694347,7915054.333333333,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,usdt,normal
750,2068.1639414035085,2989.819849,0.076,5.273179370064142e-05,0.0031639076220384855,0.07593378292892365,1137833.4736842106,0xa29f037c77451d486b3837020465a578c50add5e,usdt,normal
185,700.1741318399999,64.15,0.13513513513513514,9.373048062740934e-05,0.0056238288376445605,0.13497189210346947,640133.28,0xd0bdb157b463ff7f222f73674c8e998e1a9e8c49,usdt,normal
1530,2506.282415340081,631.442264,0.32287581699346407,0.0002241331243077697,0.013447987458466181,0.32275169900318834,267698.04858299595,0x23fd433bec56f7c62d7f087cd26bc8d1a6d8da78,usdt,normal
310,134.73843136000002,14.1,0.08064516129032258,5.5907274430919855e-05,0.0033544364658551914,0.08050647518052459,1073205.6,0xe8c9618416ed86a48a4272ec39d2663a76e9cad2,usdt,normal
789,488.38297,2023.235587,0.016476552598225603,1.1437940987615174e-05,0.0006862764592569104,0.01647063502216585,5245699.384615385,0x9d58e90c139aecb8358baada93216dc5b89e3bbc,usdt,normal
4,0.001,0.001,2.0,0.0012677886596304396,0.07606731957782638,1.8256156698678332,47326.5,0xd515c7696af72eb7cd8e8f8a2c3f835ecd44bd55,usdt,normal
500,10508.557370898734,0.0,0.158,0.00010960275521903347,0.006576165313142009,0.1578279675154082,547431.493670886,0x6d3c48269644a29f4d02d039028e5c7e0984e2e6,usdt,normal
429,75.00077671428572,1e-05,0.016317016317016316,1.1330989868800087e-05,0.0006798593921280053,0.016316625411072126,5295212.571428572,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,usdt,normal
44,45284.317352545455,50000.0,0.25,0.0001734266263476037,0.010405597580856223,0.24973434194054933,345967.63636363635,0x964b92f2f2aa794f7b44455ec220c01874f6fed6,usdt,normal
511,5257.576560584795,0.0,0.33463796477495106,0.0002322017368689918,0.013932104212139508,0.33437050109134814,258396.0,0x5954769f5ec8901617b2d394ba7a630f57226794,usdt,normal
252,13197.470672271931,0.000101,0.4523809523809524,0.00031337966220971146,0.018802779732582688,0.4512667135819845,191461.05263157896,0xb8e9887958eb77b73caa25e9b0601107bda416c1,usdt,normal
